Marca;Categoria;Material;Equipos de Tecnologia;"Aplica IVA";"Precio sin IVA";IVA;"Precio con IVA";"Descuento Claro por Pago de Contado Claro";"Pago Contado";"Total pago inicial IVA incluido";Saldo a diferir;Valor de cuota 6 Meses;Valor de cuota 12 Meses;Valor de cuota 18 Meses;Valor de cuota 24 Meses;Valor de cuota 36 Meses
ACER;PORTATIL;7021507;"PORT 14"" ACER Core i3 TMP214-55-38VL"; No ;$ 2,432,900;$ 0;$ 2,432,900;$ 0;$ 2,432,900;$ 0;$ 2,432,900;$ 435,656;$ 231,328;$ 163,566;$ 129,945;$ 96,835
ACER;PORTATIL;7018679;"Port A515-54-31S4 Ici3 4G 15.6"" Slv Acer"; No ;$ 1,463,900;$ 0;$ 1,463,900;$ 0;$ 1,463,900;$ 292,780;$ 1,171,120;$ 209,711;$ 111,354;$ 78,736;No Aplica;No Aplica
ACER;PORTATIL;7023000;"Portátil 14"" Acer 381X Ci3 16GBSteelGray"; No ;$ 2,547,900;$ 0;$ 2,547,900;$ 0;$ 2,547,900;$ 0;$ 2,547,900;$ 456,248;$ 242,262;$ 171,298;$ 136,088;$ 101,412
ACER;PORTATIL;7023003;"Portátil 16"" Acer 32KZ Ci3 16GBSteelGray"; No ;$ 2,547,900;$ 0;$ 2,547,900;$ 0;$ 2,547,900;$ 0;$ 2,547,900;$ 456,248;$ 242,262;$ 171,298;$ 136,088;$ 101,412
ACER;PORTATIL;7014227;Portatil A315-53-53K9 Ic_I5 15,6Pulghd A; No ;$ 2,310,900;$ 0;$ 2,310,900;$ 0;$ 2,310,900;$ 462,180;$ 1,848,720;$ 331,047;$ 175,782;$ 124,291;$ 98,743;$ 73,583
ACER;PORTATIL;7012696;Portatil Acer A315-51-39Z8Ar Intel C; No ;$ 2,224,900;$ 0;$ 2,224,900;$ 0;$ 2,224,900;$ 444,980;$ 1,779,920;$ 318,727;$ 169,240;$ 119,666;$ 95,068;$ 70,845
ACER;PORTATIL;7017450;Portátil Acer A515-54-31S4 Core I3; No ;$ 1,621,900;$ 0;$ 1,621,900;$ 52,000;$ 1,569,900;$ 324,380;$ 1,297,520;$ 232,345;$ 123,372;$ 87,234;$ 69,303;$ 51,644
ACER;PORTATIL;7023212;"PRT  TMP214-55-586G ICI5 16G 14"" GR ACER"; Si ;$ 2,781,429;$ 528,471;$ 3,309,900;$ 0;$ 3,309,901;$ 0;$ 3,309,900;$ 600,653;$ 322,421;$ 230,345;$ 184,802;$ 140,230
ACER;PORTATIL;7023258;"PRT  TMP214 55G231T6 ICI3 8G 14"" GR ACER"; No ;$ 2,530,900;$ 0;$ 2,530,900;$ 0;$ 2,530,900;$ 0;$ 2,530,900;$ 453,204;$ 240,646;$ 170,155;$ 135,180;$ 100,735
ACER;TABLET;7020602;Tablet Acer P10 10.4 128GB; No ;$ 673,900;$ 0;$ 673,900;$ 0;$ 673,900;$ 0;$ 673,900;$ 120,674;No Aplica;No Aplica;No Aplica;No Aplica
AIWA;BARRA SONIDO;7019280;Barra de sonido Aiwa AWSBH1W-W; Si ;$ 646,975;$ 122,925;$ 769,900;$ 0;$ 769,900;$ 0;$ 769,900;$ 139,715;No Aplica;No Aplica;No Aplica;No Aplica
AIWA;TORRE SONIDO;7021509;Equipo One box AIWA 2000W pok100d; Si ;$ 1,211,681;$ 230,219;$ 1,441,900;$ 0;$ 1,441,900;$ 0;$ 1,441,900;$ 261,664;$ 140,457;$ 100,346;No Aplica;No Aplica
AIWA;PARLANTE;7019276;Onebody Aiwa AWPOK7D 30W RMS Radio FM; Si ;$ 687,311;$ 130,589;$ 817,900;$ 0;$ 817,900;$ 0;$ 817,900;$ 148,426;$ 79,672;No Aplica;No Aplica;No Aplica
AIWA;PARLANTE;7023341;Parlante Aiwa AWS544BT  Negro; Si ;$ 735,210;$ 139,690;$ 874,900;$ 0;$ 874,900;$ 0;$ 874,900;$ 158,770;$ 85,225;No Aplica;No Aplica;No Aplica
AIWA;PARLANTE;7019278;Parlante Aiwa Bluetooth AWS1000BT; Si ;$ 721,765;$ 137,135;$ 858,900;$ 0;$ 858,900;$ 0;$ 858,900;$ 155,866;$ 83,666;No Aplica;No Aplica;No Aplica
AIWA;TORRE SONIDO;7023339;Torre Sonido Aiwa AWPOH5D Negro; Si ;$ 945,294;$ 179,606;$ 1,124,900;$ 0;$ 1,124,900;$ 0;$ 1,124,900;$ 204,137;$ 109,578;No Aplica;No Aplica;No Aplica
AIWA;TORRE SONIDO;7023340;Torre Sonido Aiwa AWSP15TWL  Negro; Si ;$ 1,050,336;$ 199,564;$ 1,249,900;$ 0;$ 1,249,900;$ 0;$ 1,249,900;$ 226,821;$ 121,754;$ 86,984;No Aplica;No Aplica
AMAZON;ASISTENTE DE VOZ;7019693;Altavoz Intelig Echo Dot 5Gen Azul Amaz; Si ;$ 276,387;$ 52,513;$ 328,900;$ 0;$ 328,901;$ 0;$ 328,900;$ 59,686;No Aplica;No Aplica;No Aplica;No Aplica
AMAZON;ASISTENTE DE VOZ;7019692;Altavoz Intelig Echo Dot 5Gen Blanc Amaz; Si ;$ 276,387;$ 52,513;$ 328,900;$ 0;$ 328,901;$ 0;$ 328,900;$ 59,686;No Aplica;No Aplica;No Aplica;No Aplica
AMAZON;ASISTENTE DE VOZ;7019691;Altavoz Intelig Echo Dot 5Gen Negro Amaz; Si ;$ 276,387;$ 52,513;$ 328,900;$ 0;$ 328,901;$ 0;$ 328,900;$ 59,686;No Aplica;No Aplica;No Aplica;No Aplica
AMAZON;ASISTENTE DE VOZ;7023953;Amazon Echo Dot 5 Gen + Echo Dot 5 Gen; Si ;$ 546,134;$ 103,766;$ 649,900;$ 0;$ 649,899;$ 0;$ 649,900;$ 117,938;No Aplica;No Aplica;No Aplica;No Aplica
APPLE;AUDIFONOS;7017566;Airpods 2 Con Estuche De Carga; Si ;$ 445,345;$ 84,615;$ 529,960;$ 0;$ 529,961;$ 0;$ 529,960;$ 96,173;No Aplica;No Aplica;No Aplica;No Aplica
APPLE;AUDIFONOS;7022051;AirPods 4 Bltth 5.3 Blanco Apple; Si ;$ 604,118;$ 114,782;$ 718,900;$ 0;$ 718,900;$ 0;$ 718,900;$ 130,460;No Aplica;No Aplica;No Aplica;No Aplica
APPLE;AUDIFONOS;7022052;AirPods 4 Nc Btth 5.3 Blanco Apple; Si ;$ 839,412;$ 159,488;$ 998,900;$ 0;$ 998,900;$ 0;$ 998,900;$ 181,272;$ 97,304;No Aplica;No Aplica;No Aplica
APPLE;AUDIFONOS;7022093;AirPods Pro2 Bltth 5.3 Blanco Apple; Si ;$ 1,097,395;$ 208,505;$ 1,305,900;$ 0;$ 1,305,900;$ 0;$ 1,305,900;$ 236,984;$ 127,209;$ 90,881;No Aplica;No Aplica
ARGOM;AUDIFONOS;7023914;Audifonos Argom E40 Gris; Si ;$ 100,756;$ 19,144;$ 119,900;$ 0;$ 119,900;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS;7023913;Audifonos Argom E40 Prupura; Si ;$ 100,756;$ 19,144;$ 119,900;$ 0;$ 119,900;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS ;7022643;Audifonos Bluetooth Argom HS2682 Blanco; Si ;$ 142,773;$ 27,127;$ 169,900;$ 0;$ 169,900;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS ;7022602;Audifonos Bluetooth Argom HS2682 Negro; Si ;$ 142,773;$ 27,127;$ 169,900;$ 0;$ 169,900;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS ;7022644;Audifonos Bluetooth Argom HS2690 Negro; Si ;$ 294,034;$ 55,866;$ 349,900;$ 0;$ 349,900;$ 0;$ 349,900;$ 63,497;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS;7021610;Audífonos BT Argom 40 hrs blanco HS2553W; Si ;$ 83,950;$ 15,950;$ 99,900;$ 0;$ 99,901;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
